id,category,profile,godot_scene,components,states,input,localization,assets,acceptance
credits,system,C,res://ui/screens/credits_screen.tscn,frame|region_stamp|page_indicator|action_hint,rolling|paused|fast|complete,confirm pause; hold page fast; cancel skip modal,credit role <=28 EN / 14 JA,"ending_stamps, staff_portrait_cameos",text never scrolls faster than 24px/s by default; full credits accessible from title
chapter_card,narrative,C,res://ui/screens/chapter_card.tscn,frame|region_stamp|relation_seal|action_hint,chapter|memory|incident|afterbeat,confirm/cancel to skip after first view,title <=28 EN / 14 JA; subtitle <=42 EN,"chapter_woodcut_320x180, region_stamp_32",remains 90 frames minimum on first view; title survives forced A
world_map,narrative,A,res://ui/screens/world_map.tscn,top_ribbon|map_node|region_stamp|focus_marker|tooltip|action_hint,free|travel_locked|incident|changed,move/confirm/cancel/journal/page/help,node <=12 EN / 6 JA; detail <=12x8 EN,"map_graph, 19_region_stamps_12, route_lines",every node reachable without pointer; link direction and lock cause are readable
destination_detail,narrative,A,res://ui/screens/destination_detail.tscn,frame|region_stamp|list_row|thread_node|action_hint,known|partial|changed|locked,move/confirm/cancel/page,spot <=20 EN / 10 JA,"region_thumb_128x72, cast_head_16","shows knowledge state, not hidden spoiler; active companion affordance is explicit"
travel_confirm,narrative,A,res://ui/screens/travel_confirm.tscn,modal|region_stamp|action_hint|loading_mark,normal|cost|companion_warning|blocked,confirm/cancel,cause <=40 EN x3 / 19 JA x3,travel_route_icons_12,default focus is cancel only for irreversible warning; otherwise travel
exploration_hud,narrative,A,res://ui/screens/exploration_hud.tscn,top_ribbon|prompt_chip|toast|action_hint|region_stamp,free|near_spot|conversation_ready|changed|stealth|companion_action,move/confirm/cancel/menu/journal/companion,prompt <=12 EN / 6 JA,"prompt_shapes, companion_action_icons, region_stamp",no permanent HUD covers faces; prompts clamp within 4px; hidden mode remains operable via audio/text cue
spot_card,narrative,C,res://ui/screens/spot_card.tscn,frame|region_stamp|thread_node|action_hint,first_visit|repeat|changed|route_private,confirm/cancel/journal,title <=24 EN / 12 JA,"spot_woodcut_88x120, spot_stamp_16",first visit establishes location; repeat variant completes in <=30 frames
dialogue,narrative,A,res://ui/screens/dialogue_screen.tscn,dialogue_panel|nameplate|portrait_window|action_hint|toast,typing|await|auto|skip_read|narrator|aside|two_portrait,confirm/cancel/menu/journal/page/help,3x48 EN cells or 4x22 JA glyphs; name <=18 EN/9 JA,"portrait_80x104, expression_parts, continue_marks",no orphan one-word final line; auto/skip state visible; backlog stores exact localized text
dialogue_choice,narrative,C,res://ui/screens/dialogue_choice.tscn,dialogue_panel|choice_card|stance_stamp|focus_marker|tooltip,direct|playful|patient|defiant|locked|changed,move/confirm/cancel/help,choice <=26 EN x2 / 13 JA x2,"stance_stamps_12, portrait_crop_80x104",choice intent is described; locked reason available; no invisible affinity number
backlog,narrative,A,res://ui/screens/backlog.tscn,frame|tab|list_row|scrollbar|page_indicator|action_hint,dialogue|choice|system|filter_character,move/confirm/cancel/page/help,exact prior localized lines; no truncation,"speaker_heads_12, choice_stamps_8",opens at latest line; choice and system records distinguishable without color
route_threshold,narrative,C,res://ui/screens/route_threshold.tscn,frame|relation_seal|thread_node|action_hint,quiet|open|strained|crossed|deferred,confirm/cancel after 90 frames,title <=20 EN /10 JA; body 38x5 EN,"character_route_seal_48, threshold_woodcut",never says romance locked by a hidden number; consequence text is qualitative and reviewable in journal
ending_card,narrative,C,res://ui/screens/ending_card.tscn,frame|relation_seal|region_stamp|action_hint,route|ensemble|bad|afterbeat,confirm; cancel skip modal,title <=28 EN /14 JA; body <=42x4 EN,"ending_woodcut_320x180, ending_stamp_24",ending ID stored after card completes; replay gallery lists unlocked language versions
journal_summary,journal,A,res://ui/screens/journal_summary.tscn,tab|thread_node|list_row|relation_seal|page_indicator|action_hint,normal|new|incident|route,move/confirm/cancel/page,row <=32 EN /16 JA,"journal_tabs, status_shapes",new information sorted but never auto-opens spoilers; all states have text label
journal_people,journal,B,res://ui/screens/journal_people.tscn,tab|list_row|portrait_window|thread_node|scrollbar|relation_seal,known|partial|changed|route_ready|unknown,move/confirm/cancel/page/help,bio 20x8 EN /10x8 JA,"portrait_80x104, person_stamp_16",facts and rumors visually separated; relationship is qualitative; unknown data not inferable from layout count
journal_places,journal,A,res://ui/screens/journal_places.tscn,tab|list_row|region_stamp|thread_node|page_indicator,known|partial|changed|completed,move/confirm/cancel/page,spot <=19 EN/9 JA,"19_region_stamps, region_thumb_128x72, 19_spot_maps","state overlays list what player observed, not implementation flags"
journal_rumors,journal,B,res://ui/screens/journal_rumors.tscn,tab|list_row|thread_node|scrollbar|tooltip,observed|contradicted|changed|resolved|unreliable,move/confirm/cancel/page/help,rumor <=42x2 EN /20x2 JA,"rumor_status_shapes_8, source_heads_12",source certainty and contradiction are text+shape; sorting never rewrites chronology
memory_thread,journal,B,res://ui/screens/memory_thread.tscn,thread_node|focus_marker|tooltip|scrollbar|action_hint,observed|contradicted|changed|route|resolved,move/pan/confirm/cancel/page/help,node <=16 EN/8 JA; detail <=48x4 EN,"thread_lines, thread_status_shapes, evidence_icons",all nodes reachable in linear list fallback; edges have pattern and label; no color dependence
keepsakes,journal,C,res://ui/screens/keepsakes.tscn,tab|list_row|focus_marker|tooltip|relation_seal,unknown|found|changed|gifted|returned,move/confirm/cancel/page/help,item <=20 EN/10 JA; note <=18x8 EN,"keepsake_icons_32, item_woodcut_88x120",unknown slots do not disclose exact total for secret items; changes preserve prior description in history
character_profile,journal,C,res://ui/screens/character_profile.tscn,portrait_window|relation_seal|thread_node|page_indicator|action_hint,known|major|deep|route_open|complete,move/confirm/cancel/page,quote max 36 EN /18 JA; facts 22x7 EN,"portrait_88x120, route_seal_32, motif_strip",profile uses authored public knowledge only; production tier is never visible to player
danmaku_hud,combat,D,res://ui/screens/danmaku_hud.tscn,meter|pip_row|combat_timer|spell_banner|reticle|action_hint,normal|focus|bomb|life_lost|spell|pause|clear,move/focus/shot/bomb/pause,spell <=24 EN/12 JA; labels <=10 EN,"bullet_shape_atlas, player_hitbox, boss_stamp, HUD_icons",bullets retain full contrast; score is secondary; focus reticle shows hitbox; decor suppressed on focus
spell_card_intro,combat,D,res://ui/screens/spell_card_intro.tscn,spell_banner|region_stamp|action_hint,first|repeat|timeout,confirm skips repeat only,title <=26 EN/13 JA,"spell_owner_stamps, spell_banner_corners",first intro <=60 frames; repeated <=24; collision inactive until banner exits
danmaku_result,combat,D,res://ui/screens/danmaku_result.tscn,frame|list_row|meter|pip_row|choice_card,clear|fail|practice|new_record,move/confirm/cancel,stat <=18 EN/9 JA,"result_stamps, capture_mark",shows capture/fail reason in words; restart is one confirmation; story mode always exposes continue policy
fighter_hud,combat,A,res://ui/screens/fighter_hud.tscn,meter|pip_row|combat_timer|action_hint|relation_seal,round_intro|active|spell_break|down|pause|sudden,move/light/heavy/skill/spell/companion/pause,name <=16 EN/8 JA,"fighter_portrait_24, skill_icons_12, round_stamps",both sides mirrored semantically; health loss has delayed notch; arena decor drops under effects
fighter_result,combat,C,res://ui/screens/fighter_result.tscn,frame|relation_seal|pip_row|choice_card,win|loss|draw|story_continue|versus,move/confirm/cancel,result line <=32 EN/16 JA,"winner_pose_136x104, round_marks",story outcome explains narrative continuation; versus supports immediate rematch
training_pause,combat,A,res://ui/screens/training_pause.tscn,tab|list_row|toggle|slider|scrollbar|action_hint,commands|dummy|display|reset,move/adjust/confirm/cancel/page,command <=20 EN/10 JA,"command_icons, input_history_glyphs",all fighter actions discoverable; reset position one action; frame display optional
minigame_shell,activity,A,res://ui/screens/minigame_shell.tscn,top_ribbon|meter|pip_row|combat_timer|action_hint|region_stamp,intro|active|success|partial|fail|pause,custom + confirm/cancel/pause,objective <=38 EN/19 JA,"19_region_stamps, activity_icons_12, result_marks",every minigame declares objective and controls before input; retry <=2 actions; story never hard-locks on dexterity
photo_camera,activity,D,res://ui/screens/photo_camera.tscn,reticle|meter|pip_row|action_hint|toast,free|target|locked|shutter|review,move/adjust/confirm/cancel/focus,target <=16 EN/8 JA,"camera_corners, subject_tags, photo_grade_stamps",shutter flash replaced by border close in safe mode; target criteria readable before capture
trade_shop,activity,A,res://ui/screens/trade_shop.tscn,tab|list_row|tooltip|pip_row|modal|toast,buy|sell|trade|unavailable|confirm,move/confirm/cancel/page/help,item <=22 EN/11 JA; description 28x5 EN,"item_icons_16, currency_shapes, shop_stamp",price/currency shown in digits and icon; unavailable reason shown; irreversible unique trade confirms
clinic,activity,B,res://ui/screens/clinic.tscn,tab|list_row|thread_node|focus_marker|modal|toast,observe|diagnose|compound|administer|result,move/confirm/cancel/page/help,symptom <=22 EN/11 JA,"vial_icons_16, symptom_shapes, dosage_meter",wrong answer gives narrative feedback without medical-realism claims; ingredient effects reviewable
activity_result,activity,C,res://ui/screens/activity_result.tscn,frame|region_stamp|relation_seal|list_row|choice_card,success|partial|fail|route_variant|record,move/confirm/cancel,result <=36 EN/18 JA,"activity_result_seals, character_reaction_head",partial success is explicit; relationship reaction described qualitatively; no hidden score required for route
