cue_id,section,scene_or_system,mood_function,touhou_reference_en,touhou_reference_ja,source_work,arrangement_brief,loop,priority
mus_mokou_firepath,eientei,Mokou false-moon burn,defiance and survival,"Reach for the Moon, Immortal Smoke",月まで届け、不死の煙,Imperishable Night,"Dry drum and distorted pulse, flame noise with strict voice limit.",yes,A
mus_false_moon,eientei,False moon danmaku,time refusing to end,Voyage 1969,ヴォヤージュ1969,Imperishable Night,Rising sequence that loops seamlessly into an earlier harmonic point.,yes,A
mus_former_hell,former_hell,Former Hell streets,"dense warmth, rough welcome",Walking the Streets of a Former Hell,旧地獄街道を行く,Subterranean Animism,"Low drum, shamisen/guitar attack, crowd ambience.",yes,B
mus_yuugi_trial,former_hell,Oni strength / drinking trial,open challenge,A Flower-Studded Sake Dish on Mt. Ooe,華のさかづき大江山,Subterranean Animism,Stomping groove; success sounds should not require alcohol content.,yes,B
mus_chireiden,former_hell,Palace exploration,"warm rooms, difficult thoughts",Heartfelt Fancy,ハートフェルトファンシー,Subterranean Animism,Odd-meter soft pulse and low piano.,yes,A
mus_satori_scene,former_hell,Satori reading scene,"exposure, restraint",Satori Maiden ~ 3rd eye,少女さとり ～ 3rd eye,Subterranean Animism,Motif appears in counterpoint with the protagonist Journal motif.,yes,A
mus_orin_cart,former_hell,Orin cart-routing minigame,macabre efficiency,Corpse Voyage ~ Be of Good Cheer!,死体旅行 ～ Be of good cheer!,Subterranean Animism,Fast rail rhythm with playful but non-gory sound design.,yes,B
mus_reactor,former_hell,Okuu reactor,"simple intent, immense power",Solar Sect of Mystic Wisdom ~ Nuclear Fusion,霊知の太陽信仰 ～ Nuclear Fusion,Subterranean Animism,"Heavy pulse bass, siren motif, clean warning bands.",yes,A
mus_temple,myouren_temple,Temple grounds,communal energy,At the End of Spring,春の湊に,Undefined Fantastic Object,Open percussion and plucked lead; ship-like sway.,yes,B
mus_kogasa,myouren_temple,Kogasa surprise/repair,"failed scare, earnest craft",Beware the Umbrella Left There Forever,万年置き傘にご注意を,Undefined Fantastic Object,Toy-like lead that gains warm acoustic layer during repair.,yes,B
mus_murasa,myouren_temple,Murasa water / ship event,dangerous momentum,Captain Murasa,キャプテン・ムラサ,Undefined Fantastic Object,"Rolling 6/8, low pulse, creaking-wood percussion.",yes,B
mus_byakuren,myouren_temple,Byakuren route or boss,compassion with force,Emotional Skyscraper ~ Cosmic Mind,感情の摩天楼 ～ Cosmic Mind,Undefined Fantastic Object,"Reed organ and powerful drums, then quiet unaccompanied coda.",yes,B
mus_heian_alien,myouren_temple,Nue unknown-form event,uncertain identity,Heian Alien,平安のエイリアン,Undefined Fantastic Object,Shape-shifting meter and timbre while retaining a fixed pulse anchor.,yes,C
mus_senkai,senkai,Senkai traversal,"clean speed, impossible geometry",Desire Drive,デザイアドライブ,Ten Desires,"Bright motor rhythm, doors enter as syncopated cuts.",yes,B
mus_seiga,senkai,Seiga wall event,charming moral danger,Old Yuanxian,古きユアンシェン,Ten Desires,Slinky pulse and hollow-block percussion; do not frame coercion romantically.,yes,C
mus_miko,senkai,Miko audience / duel,charisma and public desire,Shoutoku Legend ~ True Administrator,聖徳伝説 ～ True Administrator,Ten Desires,Fanfare compressed into sharp 1-bit brass and drum figures.,yes,B
mus_kokoro,senkai,Kokoro mask performance,learning expression,The Lost Emotion,亡失のエモーション,Hopeless Masquerade,Mask changes swap instrumentation while tempo and harmony remain stable.,yes,B
mus_heaven,heaven,Heaven exploration,beautiful boredom,Catastrophe in Bhavaagra ~ Wonderful Heaven,有頂天変 ～ Wonderful Heaven,Scarlet Weather Rhapsody,Airy pulse and koto-like lead interrupted by heavy keystone bass.,yes,A
mus_tenshi_route,heaven,Tenshi route,provocation hiding loneliness,Bhava-agra As Seen Through a Child’s Mind,幼心地の有頂天,Scarlet Weather Rhapsody,"Start bombastic, progressively remove audience-like percussion.",no,A
mus_iku_weather,heaven,Iku weather warning,formal atmospheric tension,Crimson in the Black Sea ~ Legendary Fish,黒い海に紅く ～ Legendary Fish,Scarlet Weather Rhapsody,Elastic electric lead with clear storm telegraphs.,yes,B
mus_sanzu,sanzu_higan,Sanzu River,distance and accounting,Higan Retour ~ Riverside View,彼岸帰航 ～ Riverside View,Phantasmagoria of Flower View,"Slow ferry rhythm, low bell, water pulse.",yes,B
mus_eiki,sanzu_higan,Eiki judgment,moral clarity without villainy,Fate of Sixty Years,六十年目の東方裁判 ～ Fate of Sixty Years,Phantasmagoria of Flower View,Steady organ/piano; no “evil judge” clichés.,yes,B
mus_flower_field,garden_sun,Sunflower field,calm overwhelming life,"Gensokyo, Past and Present ~ Flower Land",今昔幻想郷 ～ Flower Land,Phantasmagoria of Flower View,"Broad melody, sparse rhythm, long unbroken ambience.",yes,B
mus_yuuka,garden_sun,Yuuka encounter,unhurried power,"Gensokyo, Past and Present ~ Flower Land",今昔幻想郷 ～ Flower Land,Phantasmagoria of Flower View,Low dynamic but enormous register; attacks arrive as clean musical cuts.,yes,B
mus_lunar_entry,lunar_capital,Lunar Capital entry,sterile perfection,The Frozen Eternal Capital,凍り付いた永遠の都,Legacy of Lunatic Kingdom,"Exact grid pulse, almost no noise; impurity introduces human timing.",yes,B
mus_dream_world,lunar_capital,Dream World,soft instability,Eternal Spring Dream,永遠の春夢,Legacy of Lunatic Kingdom,"Floating chord cells, reversed envelopes, clear navigation pulse.",yes,B
mus_sagume,lunar_capital,Sagume word-reversal event,consequence of speech,The Reversed Wheel of Fortune,逆転するホイールオブフォーチュン,Legacy of Lunatic Kingdom,Motif phrases reverse after spoken choices; pre-render both directions.,yes,C
mus_junko,lunar_capital,Junko confrontation,purified intent,Pure Furies ~ Whereabouts of the Heart,ピュアヒューリーズ ～ 心の在処,Legacy of Lunatic Kingdom,Extremely direct pulse/harmonic motion; no comic layer during core scene.,yes,B
mus_hecatia,lunar_capital,Hecatia three-world challenge,cosmic freedom,Pandemonic Planet,パンデモニックプラネット,Legacy of Lunatic Kingdom,Three instrumentation sets share melody; switch with body/world.,yes,C
mus_clownpiece,lunar_capital,Clownpiece arena,fairy chaos under control,The Pierrot of the Star-Spangled Banner,星条旗のピエロ,Legacy of Lunatic Kingdom,"March fragments, inverted accents, reduced-density mix carefully redesigned.",yes,C
mus_animal_realm,animal_realm,Beast Metropolis,harsh hierarchy,Beast Metropolis,ビーストメトロポリス,Wily Beast and Weakest Creature,"Industrial pulse, giant empty reverb, no modern sample-library clichés.",yes,C
mus_yachie,animal_realm,Yachie negotiation,polite control,Tortoise Dragon ~ Fortune and Misfortune,トータスドラゴン ～ 幸運と不運,Wily Beast and Weakest Creature,Measured plucked figure; hidden bass accents follow manipulation flags.,yes,C
mus_keiki,animal_realm,Keiki / idol creation,creative protection becoming rule,Entrust this World to Idols ~ Idolatrize World,偶像に世界を委ねて ～ Idolatrize World,Wily Beast and Weakest Creature,Strong sculptural rhythm; haniwa formation adds voices by phase.,yes,C
mus_saki,animal_realm,Saki speed duel,direct physical joy,Prince Shoutoku’s Pegasus ~ Dark Pegasus,聖徳太子のペガサス ～ Dark Pegasus,Wily Beast and Weakest Creature,Galloping pulse and bold lead; no deceptive rests.,yes,C
mus_hidden_doors,hidden_back_doors,Back-door navigation,ordinary scene turned impossible,The Concealed Four Seasons,秘匿されたフォーシーズンズ,Hidden Star in Four Seasons,Season fragments appear behind the normal region loop.,yes,C
mus_okina,hidden_back_doors,Okina audience / boss,hidden authorship and agency,Secret God Matara ~ Hidden Star in All Seasons,秘神マターラ ～ Hidden Star in All Seasons,Hidden Star in Four Seasons,"Formal pulse, backbeat inversion, doors as sudden acoustic cuts.",yes,C
mus_sumireko,outside_world,Sumireko dream event,modern occult curiosity,Last Occultism ~ Esotericist of the Present World,ラストオカルティズム ～ 現し世の秘術師,Urban Legend in Limbo,"Sharper electronic lead than prologue, but maintain 1-bit/acoustic bridge.",yes,C
mus_lunatic_dreamer,outside_world,Nightmare challenge,lucid pressure,Lunatic Dreamer,ルナティックドリーマー,Violet Detector,Fast pulse and camera-frame rhythm; designed for challenge mode only.,yes,C
mus_festival,seasonal,Festival / ensemble comedy,social abundance,Theme medley: active region cast,地域キャラクター曲メドレー,various,Modular eight-bar phrases; never play more than three motifs simultaneously.,yes,B
mus_rain,seasonal,Rain and shared shelter,"close space, low pressure",Original composition,オリジナル曲,original,"Rain noise, two pulse notes, one acoustic melody; suitable for many routes.",yes,B
mus_winter,seasonal,Kotatsu / winter shrine,domestic ease,Original composition with shrine motif,オリジナル曲（神社モチーフ）,original,"Muted triangle, kettle ambience, slow woodblock.",yes,B
mus_comedy_escalation,system,General comic escalation,mechanical chaos,Original composition,オリジナル曲,original,Stack character percussion props; cadence must hand off cleanly into mode cue.,yes,A
mus_quiet_afterbeat,system,Generic quiet afterbeat fallback,sincerity after chaos,Original Journal motif,オリジナル・ジャーナルモチーフ,original,20-second non-looping felt-piano/pulse phrase; region instrument optional.,no,A
